assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,season,season_idx,news_added,creativity_rank,creativity_rank_type,ict_index_rank,ict_index_rank_type,influence_rank,influence_rank_type,threat_rank,threat_rank_type
1,2,170,75,0,6,75115,0,0,-5,5,125.7,0,165.0,4,0.0,0.0,0,Callum,0.0,25,6,82.2,49,False,229.0,0.0,0.0,0.0,0.0,1361,Knee injury - 75% chance of playing,60,0,0,0,75115.jpg,3.1,0,0,Wilson,1.1,False,13,d,2,91,487.0,63,355011,0,426076,0,0.0,10.5,Callum Wilson,0,2016-17,0,,,,,,,,,
0,0,0,0,0,0,126468,0,0,0,0,0.0,0,3.0,4,0.0,0.0,0,Tokelo,0.0,0,0,0.0,50,False,0.0,0.0,0.0,0.0,0.0,0,Joined Turkish outfit Genclerbirligi on 26/8,45,0,0,0,126468.jpg,0.0,0,0,Rantie,0.3,False,9,u,2,91,0.0,0,2145,0,14527,0,0.0,0.0,Rantie,0,2016-17,0,,,,,,,,,
1,0,17,0,0,0,21246,0,0,-2,2,11.8,0,124.0,4,0.0,0.0,0,Lewis,0.0,2,0,5.3,51,False,24.2,0.0,0.0,0.0,0.0,60,Season long loan to Reading,43,0,0,0,21246.jpg,2.0,0,0,Grabban,2.9,False,28,u,2,91,17.0,6,193792,0,272441,0,0.0,1.4,Grabban,0,2016-17,0,,,,,,,,,
5,9,259,100,25,5,88498,0,0,-7,7,320.7,1,146.0,4,0.3,-0.1,1,Benik,0.0,24,6,130.8,52,False,350.0,0.0,0.0,0.0,0.0,1458,,53,0,1,0,88498.jpg,2.8,0,0,Afobe,1.2,False,9,a,2,91,639.0,88,217579,0,198000,0,0.0,16.6,Afobe,1,2016-17,0,,,,,,,,,
1,0,22,100,100,1,178304,0,0,-4,4,39.6,0,0.0,4,0.3,-0.5,5,Lys,0.0,4,0,16.1,53,False,27.8,0.0,0.0,0.0,0.0,270,,51,1,0,0,178304.jpg,1.3,0,0,Mousset,0.1,False,31,a,2,91,109.0,14,1984,0,3721,0,0.0,2.7,Mousset,0,2016-17,0,,,,,,,,,
0,21,741,100,100,10,21205,0,0,6,-6,30.3,4,0.0,1,3.0,0.0,1,Tom,0.0,48,0,103.2,54,True,1001.6,0.0,0.0,0.0,0.0,3150,,51,0,0,1,21205.jpg,4.3,0,142,Heaton,18.6,False,1,a,3,90,0.0,149,976551,0,464893,0,0.0,29.2,Heaton,1,2016-17,0,,,,,,,,,
2,5,631,100,100,9,68983,0,0,0,0,491.5,0,0.0,2,2.0,0.0,1,Matthew,0.0,53,0,134.2,55,False,770.6,0.0,0.0,0.0,0.0,3240,,45,0,0,0,68983.jpg,2.5,0,0,Lowton,0.8,False,2,a,3,90,80.0,90,59732,0,42770,0,0.0,20.0,Lowton,9,2016-17,0,,,,,,,,,
2,6,592,100,25,9,51927,0,0,-1,1,93.7,0,0.0,2,0.0,0.0,0,Ben,0.0,49,1,126.7,56,False,890.0,0.0,0.0,0.0,0.0,3015,,44,2,0,0,51927.jpg,2.8,0,0,Mee,2.2,False,6,a,3,90,281.0,94,239402,0,182928,0,0.0,21.4,Mee,5,2016-17,0,,,,,,,,,
1,3,596,100,100,8,40616,0,0,0,0,409.9,0,0.0,2,1.8,0.0,1,Stephen,0.0,53,1,118.3,57,False,644.6,0.0,0.0,0.0,0.0,3230,,45,0,0,0,40616.jpg,2.5,0,0,Ward,1.6,False,23,a,3,90,128.0,91,127226,0,68354,0,0.0,20.2,Ward,5,2016-17,0,,,,,,,,,
1,10,619,100,75,10,106611,0,0,0,0,96.7,3,0.0,2,1.7,0.0,0,Michael,0.0,49,2,158.6,58,False,930.8,0.0,0.0,0.0,0.0,3150,,50,0,0,0,106611.jpg,3.2,0,0,Keane,3.3,False,5,a,3,90,557.0,113,245278,0,168551,0,0.0,22.6,Keane,4,2016-17,0,,,,,,,,,
